Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13, C14, C16, C17, C18, C25, C26, C27, C28, C29, C3, C30, C31, C32, C35, C4, C5, C8",0402,20,0.1u,
"C10, C12, C2",0603,3,22u,
"C15, C21",0603,2,10u,
"C19, C20, C22, C23",0402,4,1u,
C24,0402,1,0.01u,
"D1, D2",SOD-963   CST2C_TOS,2,"CCS15S40,L3F",
"D10, D3, D8, D9",0402,4,LED,
"D4, D5",D_SOD-923,2,ESD9B3.3ST5G,
D6,0402,1,POWER,
IC1,QFN40P700X700X90-57N-D,1,ESP32-S3FH4R2,
IC2,QFN40P300X300X95-25N-D,1,MPU-6500,
IC5,DRV8835DSSR,1,DRV8835DSSR,
IC6,SON50P300X300X100-9N-D,1,"PCA9632TK,118",
J1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02,
J2,WURTH_614105150721,1,USB_B_Micro,
L1,0402,1,2.0nH,
"M1, M2",MK06-4.5,2,MK06-4.5,
M3,MK06-4.5,1,Fan_Motor,
"Q1, Q2, Q3",DFN2020-6L_MCE,3,MCM3400A-TP,
Q4,TSOP6F_SSM6J_TOS,1,SSM6J808R_LXHF,
"R1, R2, R24, R3",0402,4,10k,
"R10, R14, R20, R4, R8",0402,5,47k,
"R11, R13, R5, R7",0402,4,100,
"R12, R15, R16, R25, R26, R30, R31, R6, R9",0402,9,1k,
"R17, R22",0402,2, 47k,
R18,0402,1,2.4k,
R19,0402,1,620,
R23,0402,1,1.3k,
SW1,SSSS810701,1,SSSS810701,
SW2,BOOT_PAD,1,SW_Push,
U1,SMT-0440-S-R_PUI,1,SMT-0440-S-R,
"U2, U3, U4, U5",LBR-127HLD,4,LBR-127HLD,
U6,CONV_LXDC55FAAA-203,1,LXDC55FAAA-203,
U7,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,RTV-104DF333-S-40.000-TR,
U8,LED_WS2812-2020,1,WS2812-2020,
